Track ID,Album ID,Album,Release Date,Track,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence,tempo,loudness,duration_ms,popularity
2BqfIlpahcebJPeu1IUTEo,1XkGORuUX2QGOEIL4EbJKm,Favourite Worst Nightmare,2007-04-22,Do Me a Favour,0.00013,0.469,0.738,0.0577,0.078,0.0619,0.624,180.15,-6.638,209253,0.62
2hmHlBM0kPBm17Y7nVIW9f,5IEoiwkThhRmSMBANhpxl2,Humbug,2009-08-20,My Propeller,0.052,0.415,0.657,0.0552,0.233,0.0295,0.69,115.752,-6.758,205747,0.59
6wVWJl64yoTzU27EI8ep20,5IEoiwkThhRmSMBANhpxl2,Humbug,2009-08-20,Crying Lightning,0.0148,0.498,0.885,0.00041,0.239,0.0461,0.67,106.719,-4.423,224827,0.68
0pdp3VrR4WQaswf0GyT0Y0,5IEoiwkThhRmSMBANhpxl2,Humbug,2009-08-20,Dangerous Animals,0.0129,0.34,0.922,2.39e-06,0.226,0.18,0.532,125.363,-5.189,210667,0.52
4dtP86vkhzwNXCFpCtizce,5IEoiwkThhRmSMBANhpxl2,Humbug,2009-08-20,Secret Door,0.0314,0.323,0.806,1.11e-05,0.181,0.0769,0.548,124.615,-6.554,223067,0.62
6EMhO2CuQZ3u7ZKDRuf560,5IEoiwkThhRmSMBANhpxl2,Humbug,2009-08-20,Fire And The Thud,0.165,0.566,0.61,0.006,0.215,0.0388,0.406,114.904,-11.228,237533,0.52
5bsnLiT00hG37qd8p2jdVl,5IEoiwkThhRmSMBANhpxl2,Humbug,2009-08-20,Cornerstone,0.00764,0.287,0.721,0.0,0.328,0.0387,0.763,169.252,-5.81,197973,0.65
3RHHXwyRtskFx87sX80xEy,5IEoiwkThhRmSMBANhpxl2,Humbug,2009-08-20,Potion Approaching,0.0062,0.421,0.758,0.0673,0.0905,0.0429,0.767,103.659,-8.945,212133,0.5
4PDPn7HosIycoXeoeibFc5,5IEoiwkThhRmSMBANhpxl2,Humbug,2009-08-20,The Jeweller's Hands,0.137,0.51,0.8,0.0834,0.118,0.0488,0.391,96.935,-8.116,344053,0.51
45n7uujqwmMyBMjBu9SwRu,5IEoiwkThhRmSMBANhpxl2,Humbug,2009-08-20,Pretty Visitors,0.0614,0.244,0.896,2.83e-05,0.127,0.464,0.142,83.354,-5.576,220507,0.57
3u16Clmxz7dJpnQWXXynok,5IEoiwkThhRmSMBANhpxl2,Humbug,2009-08-20,Dance Little Liar,0.0586,0.538,0.607,0.769,0.0975,0.0352,0.543,100.158,-9.133,283493,0.56
3czdA0j4iaLDJJCoT5D8iP,2ym2jcqckXqWeTDoxz3Kst,Suck It and See,2011-06-06,Don't Sit Down 'Cause I've Moved Your Chair,0.0191,0.434,0.912,0.278,0.326,0.0451,0.315,119.729,-5.148,183507,0.56
5xw2cHVLw1rlDPp3cL9Zuv,2ym2jcqckXqWeTDoxz3Kst,Suck It and See,2011-06-06,She's Thunderstorms,0.000518,0.505,0.898,0.00236,0.173,0.0329,0.731,118.929,-4.906,234920,0.58
7EUcOIbJSePmXGvAe7G79C,2ym2jcqckXqWeTDoxz3Kst,Suck It and See,2011-06-06,Black Treacle,0.000821,0.343,0.89,0.0,0.0912,0.0655,0.525,100.061,-5.759,217440,0.55
49HYB8tppaxOsbBfeozPxu,2ym2jcqckXqWeTDoxz3Kst,Suck It and See,2011-06-06,Brick By Brick,0.00123,0.285,0.807,0.00368,0.317,0.0528,0.542,132.206,-4.741,179907,0.49
52M1FvGd0AkoUwcHL2L8jv,2ym2jcqckXqWeTDoxz3Kst,Suck It and See,2011-06-06,The Hellcat Spangled Shalalala,0.000793,0.449,0.872,0.00062,0.0642,0.0507,0.788,130.22,-4.992,180373,0.51
7cRR82VFtvy3FeqIrjEeFy,2ym2jcqckXqWeTDoxz3Kst,Suck It and See,2011-06-06,All My Own Stunts,0.00135,0.511,0.943,0.0181,0.187,0.0537,0.531,127.283,-4.934,232280,0.47
1bXLpqe49cqEpj88uPR4pu,2ym2jcqckXqWeTDoxz3Kst,Suck It and See,2011-06-06,Reckless Serenade,0.00037,0.585,0.694,0.0144,0.0724,0.0392,0.785,127.966,-6.632,162747,0.51
4Ai0ANRDYwx6mCD4Uty1WS,2ym2jcqckXqWeTDoxz3Kst,Suck It and See,2011-06-06,Piledriver Waltz,0.00724,0.443,0.865,0.000116,0.468,0.0391,0.474,110.008,-4.547,203880,0.6
0S6CXA5LpRDX6b4akgrOot,2ym2jcqckXqWeTDoxz3Kst,Suck It and See,2011-06-06,Love is a Laserquest,0.00197,0.349,0.662,0.908,0.136,0.0402,0.554,169.926,-6.873,191427,0.58
0LxeKwg9t7HOnyfv4bTALT,2ym2jcqckXqWeTDoxz3Kst,Suck It and See,2011-06-06,Suck It and See,0.00105,0.339,0.932,0.114,0.255,0.057,0.586,128.291,-5.017,225987,0.59
2fgQ8COnxtEvaTcNbEtsUf,2ym2jcqckXqWeTDoxz3Kst,Suck It and See,2011-06-06,That's Where You're Wrong,0.000679,0.481,0.883,0.558,0.145,0.0638,0.46,135.937,-5.554,256800,0.51
0qfGWpvJGlp17wdTm19ioK,2ym2jcqckXqWeTDoxz3Kst,Suck It and See,2011-06-06,Library Pictures,0.000142,0.304,0.939,0.00601,0.136,0.0549,0.402,96.954,-5.836,142173,0.48
5XeFesFbtLpXzIVDNQP22n,78bpIziExqiI9qztvNFlQu,AM,2013-09-09,I Wanna Be Yours,0.136,0.464,0.417,0.022,0.0974,0.0256,0.479,67.528,-9.345,183956,0.9
2LGdO5MtFdyphi2EihANZG,78bpIziExqiI9qztvNFlQu,AM,2013-09-09,Knee Socks,0.123,0.665,0.542,0.00291,0.342,0.033,0.587,97.975,-8.323,257563,0.73
0NdTUS4UiNYCNn5FgVqKQY,78bpIziExqiI9qztvNFlQu,AM,2013-09-09,Snap Out Of It,0.249,0.728,0.638,0.0,0.116,0.0336,0.872,130.014,-6.455,193030,0.76
086myS9r57YsLbJpU0TgK9,78bpIziExqiI9qztvNFlQu,AM,2013-09-09,Why'd You Only Call Me When You're High?,0.0483,0.691,0.631,1.13e-05,0.104,0.0368,0.8,92.004,-6.478,161124,0.84
75n7mraeMycQOl2sDGYaTe,78bpIziExqiI9qztvNFlQu,AM,2013-09-09,Mad Sounds,0.279,0.532,0.462,0.196,0.101,0.03,0.485,80.001,-10.71,215012,0.61
5TTGoX70AFrTvuEtqHK37S,78bpIziExqiI9qztvNFlQu,AM,2013-09-09,No. 1 Party Anthem,0.33,0.505,0.698,0.0887,0.0966,0.0297,0.599,115.013,-5.563,243132,0.85
1j9rezdE3YeC7yktZXC1em,78bpIziExqiI9qztvNFlQu,AM,2013-09-09,I Want It All,0.000637,0.499,0.81,0.0748,0.0625,0.0347,0.288,131.052,-5.579,185406,0.62
7nzsY8vlnKdvGOEE0rjAXZ,78bpIziExqiI9qztvNFlQu,AM,2013-09-09,Arabella,0.0202,0.579,0.558,1.26e-06,0.212,0.0895,0.506,179.949,-6.986,207357,0.74
6wNUBZNWFxdUGof6vkaykE,78bpIziExqiI9qztvNFlQu,AM,2013-09-09,One For The Road,0.212,0.415,0.668,0.0615,0.27,0.036,0.842,180.048,-6.849,206052,0.66
2AT8iROs4FQueDv2c8q2KE,78bpIziExqiI9qztvNFlQu,AM,2013-09-09,R U Mine?,0.00616,0.288,0.758,0.0,0.303,0.0371,0.619,97.094,-5.692,201726,0.79
5FVd6KXrgO9B3JPmC8OPst,78bpIziExqiI9qztvNFlQu,AM,2013-09-09,Do I Wanna Know?,0.186,0.548,0.532,0.000263,0.217,0.0323,0.405,85.03,-7.596,272394,0.84
4atMrAadB7dS8xn9vfk9PQ,78bpIziExqiI9qztvNFlQu,AM,2013-09-09,Fireside,0.0234,0.538,0.953,0.00126,0.113,0.056,0.74,100.033,-5.611,181049,0.65
0b93tWwuoAC0nXe1CfR30I,7v6FNgLDS8KmaWA1amUtqe,Tranquility Base Hotel & Casino,2018-05-10,Star Treatment,0.244,0.582,0.766,0.00136,0.141,0.0528,0.665,120.081,-5.028,354640,0.56
1t67WYNfUxfOiwaz7SJ66b,7v6FNgLDS8KmaWA1amUtqe,Tranquility Base Hotel & Casino,2018-05-10,One Point Perspective,0.057,0.714,0.586,0.00464,0.144,0.0419,0.844,77.104,-4.57,208640,0.55
2HbYLDA1SigY1ilC94ieVu,7v6FNgLDS8KmaWA1amUtqe,Tranquility Base Hotel & Casino,2018-05-10,American Sports,0.00169,0.371,0.865,0.00304,0.127,0.0512,0.594,176.724,-4.288,158040,0.48
