track_name,album_name,artist_name,release_date,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Do I Wanna Know? - Live,Live at the Royal Albert Hall,Arctic Monkeys,04-12-20,5zDoSmh06F7kjXGIHFhQzh,0.252,0.77,0,-7.925,1,0.0489,0.0924,2.97E-05,0.688,0.305,84.366,audio_features,5zDoSmh06F7kjXGIHFhQzh,spotify:track:5zDoSmh06F7kjXGIHFhQzh,https://api.spotify.com/v1/tracks/5zDoSmh06F7kjXGIHFhQzh,https://api.spotify.com/v1/audio-analysis/5zDoSmh06F7kjXGIHFhQzh,281093,4
Why'd You Only Call Me When You're High? - Live,Live at the Royal Albert Hall,Arctic Monkeys,04-12-20,1VUcb7Ik5bYw0SzXBH9rLr,0.371,0.811,4,-7.591,0,0.0577,0.175,0.00012,0.722,0.533,91.691,audio_features,1VUcb7Ik5bYw0SzXBH9rLr,spotify:track:1VUcb7Ik5bYw0SzXBH9rLr,https://api.spotify.com/v1/tracks/1VUcb7Ik5bYw0SzXBH9rLr,https://api.spotify.com/v1/audio-analysis/1VUcb7Ik5bYw0SzXBH9rLr,183680,4
505 - Live,Live at the Royal Albert Hall,Arctic Monkeys,04-12-20,4Q2vbGXSU28xWveWKp4wra,0.343,0.724,0,-9.384,1,0.0753,0.0133,3.89E-05,0.325,0.186,139.451,audio_features,4Q2vbGXSU28xWveWKp4wra,spotify:track:4Q2vbGXSU28xWveWKp4wra,https://api.spotify.com/v1/tracks/4Q2vbGXSU28xWveWKp4wra,https://api.spotify.com/v1/audio-analysis/4Q2vbGXSU28xWveWKp4wra,275733,4
One Point Perspective - Live,Live at the Royal Albert Hall,Arctic Monkeys,04-12-20,4hZlP9bciuyeBMxPqYHR1C,0.554,0.643,0,-9.395,0,0.0323,0.182,0.0133,0.236,0.818,76.985,audio_features,4hZlP9bciuyeBMxPqYHR1C,spotify:track:4hZlP9bciuyeBMxPqYHR1C,https://api.spotify.com/v1/tracks/4hZlP9bciuyeBMxPqYHR1C,https://api.spotify.com/v1/audio-analysis/4hZlP9bciuyeBMxPqYHR1C,202707,4
Do Me A Favour - Live,Live at the Royal Albert Hall,Arctic Monkeys,04-12-20,3d7DrmuuKPkJxvCX7G7pOZ,0.207,0.837,6,-9.093,0,0.211,0.0355,0.000173,0.758,0.297,173.112,audio_features,3d7DrmuuKPkJxvCX7G7pOZ,spotify:track:3d7DrmuuKPkJxvCX7G7pOZ,https://api.spotify.com/v1/tracks/3d7DrmuuKPkJxvCX7G7pOZ,https://api.spotify.com/v1/audio-analysis/3d7DrmuuKPkJxvCX7G7pOZ,239533,4
Cornerstone - Live,Live at the Royal Albert Hall,Arctic Monkeys,04-12-20,5F3cEp3T5zbvWtBsp2FVzp,0.368,0.779,6,-7.564,0,0.0869,0.153,0.000266,0.892,0.472,76.495,audio_features,5F3cEp3T5zbvWtBsp2FVzp,spotify:track:5F3cEp3T5zbvWtBsp2FVzp,https://api.spotify.com/v1/tracks/5F3cEp3T5zbvWtBsp2FVzp,https://api.spotify.com/v1/audio-analysis/5F3cEp3T5zbvWtBsp2FVzp,221973,4
Knee Socks - Live,Live at the Royal Albert Hall,Arctic Monkeys,04-12-20,5yJKvGzNSgxbyAGmOrIF3t,0.556,0.578,4,-9.992,0,0.0319,0.167,0.0228,0.712,0.268,97.791,audio_features,5yJKvGzNSgxbyAGmOrIF3t,spotify:track:5yJKvGzNSgxbyAGmOrIF3t,https://api.spotify.com/v1/tracks/5yJKvGzNSgxbyAGmOrIF3t,https://api.spotify.com/v1/audio-analysis/5yJKvGzNSgxbyAGmOrIF3t,350467,4
Arabella - Live,Live at the Royal Albert Hall,Arctic Monkeys,04-12-20,29kEMCLEdzXhZgOngvUrPY,0.391,0.825,11,-8.18,0,0.253,0.176,0,0.704,0.291,91.389,audio_features,29kEMCLEdzXhZgOngvUrPY,spotify:track:29kEMCLEdzXhZgOngvUrPY,https://api.spotify.com/v1/tracks/29kEMCLEdzXhZgOngvUrPY,https://api.spotify.com/v1/audio-analysis/29kEMCLEdzXhZgOngvUrPY,246973,4
Tranquility Base Hotel & Casino - Live,Live at the Royal Albert Hall,Arctic Monkeys,04-12-20,1ll6X7gXZtDL4G0eOqfCjQ,0.428,0.75,9,-9.14,0,0.0904,0.251,0.00104,0.705,0.383,142.657,audio_features,1ll6X7gXZtDL4G0eOqfCjQ,spotify:track:1ll6X7gXZtDL4G0eOqfCjQ,https://api.spotify.com/v1/tracks/1ll6X7gXZtDL4G0eOqfCjQ,https://api.spotify.com/v1/audio-analysis/1ll6X7gXZtDL4G0eOqfCjQ,243240,4
She Looks Like Fun - Live,Live at the Royal Albert Hall,Arctic Monkeys,04-12-20,09NwfVvbphzx8H2VHskQAD,0.284,0.635,0,-8.476,1,0.0488,0.171,6.00E-06,0.756,0.385,106.295,audio_features,09NwfVvbphzx8H2VHskQAD,spotify:track:09NwfVvbphzx8H2VHskQAD,https://api.spotify.com/v1/tracks/09NwfVvbphzx8H2VHskQAD,https://api.spotify.com/v1/audio-analysis/09NwfVvbphzx8H2VHskQAD,201773,3
From The Ritz To The Rubble - Live,Live at the Royal Albert Hall,Arctic Monkeys,04-12-20,3JcVulhVMfRmEpWmbEVqkk,0.173,0.918,11,-7.598,0,0.142,0.0909,0,0.957,0.421,173.821,audio_features,3JcVulhVMfRmEpWmbEVqkk,spotify:track:3JcVulhVMfRmEpWmbEVqkk,https://api.spotify.com/v1/tracks/3JcVulhVMfRmEpWmbEVqkk,https://api.spotify.com/v1/audio-analysis/3JcVulhVMfRmEpWmbEVqkk,221947,4
Pretty Visitors - Live,Live at the Royal Albert Hall,Arctic Monkeys,04-12-20,1SaOPXYjSahmVwFSGlCXNI,0.262,0.905,2,-6.681,1,0.0968,0.034,0,0.76,0.274,109.727,audio_features,1SaOPXYjSahmVwFSGlCXNI,spotify:track:1SaOPXYjSahmVwFSGlCXNI,https://api.spotify.com/v1/tracks/1SaOPXYjSahmVwFSGlCXNI,https://api.spotify.com/v1/audio-analysis/1SaOPXYjSahmVwFSGlCXNI,241240,3
Don't Sit Down 'Cause I've Moved Your Chair - Live,Live at the Royal Albert Hall,Arctic Monkeys,04-12-20,1peQof7MvOPkX8ZRWEWKjp,0.267,0.809,2,-8.326,1,0.0678,0.0915,0.00915,0.891,0.38,113.656,audio_features,1peQof7MvOPkX8ZRWEWKjp,spotify:track:1peQof7MvOPkX8ZRWEWKjp,https://api.spotify.com/v1/tracks/1peQof7MvOPkX8ZRWEWKjp,https://api.spotify.com/v1/audio-analysis/1peQof7MvOPkX8ZRWEWKjp,221253,4
I Bet You Look Good On The Dancefloor - Live,Live at the Royal Albert Hall,Arctic Monkeys,04-12-20,4YS0QKXLqqSM3MxlWej009,0.241,0.968,11,-7.381,0,0.378,0.14,6.46E-06,0.92,0.0991,120.412,audio_features,4YS0QKXLqqSM3MxlWej009,spotify:track:4YS0QKXLqqSM3MxlWej009,https://api.spotify.com/v1/tracks/4YS0QKXLqqSM3MxlWej009,https://api.spotify.com/v1/audio-analysis/4YS0QKXLqqSM3MxlWej009,293520,4
